ts,app,scenario,run_label,vm,op,kernel,threads,workload,phase,host,port,throughput_rps,avg_us,min_us,p50_us,p75_us,p90_us,p95_us,p99_us,p99_9_us,p99_99_us,max_us,rings,requests,pipeline,max_inflight,push_retries,sleep_ms,scale,degree,trials,edge_traversals,avg_time_s,throughput_teps,attach_total_ms,attach_wait_ms,attach_decrypt_ms,attach_pretouch_ms,runtime_ms,throughput_ops_sec,read_avg_us,read_p95_us,read_p99_us,update_avg_us,update_p95_us,update_p99_us,insert_avg_us,insert_p95_us,insert_p99_us,source_file
20260130_100913,ycsb,YCSB,ycsb_workloade_run_192.168.100.1_6379_20260130_100913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288154,34.703665,,,,,,,2017.767717,2867,3241,../result_ycsb/ycsb_workloade_run_192.168.100.1_6379_20260130_100913.log
20260130_101415,ycsb,YCSB,ycsb_workloada_load_127.0.0.1_6380_20260130_101415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102642,97.426005,,,,,,,40924.7017,44127,44255,../result_ycsb/ycsb_workloada_load_127.0.0.1_6380_20260130_101415.log
20260130_101559,ycsb,YCSB,ycsb_workloada_run_127.0.0.1_6380_20260130_101559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108651,92.037809,43241.708967,44255,44415,43292.810152,44255,44415,,,,../result_ycsb/ycsb_workloada_run_127.0.0.1_6380_20260130_101559.log
20260130_101748,ycsb,YCSB,ycsb_workloadb_load_127.0.0.1_6380_20260130_101748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103409,96.703382,,,,,,,41240.7719,44127,44223,../result_ycsb/ycsb_workloadb_load_127.0.0.1_6380_20260130_101748.log
20260130_101932,ycsb,YCSB,ycsb_workloadb_run_127.0.0.1_6380_20260130_101932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106804,93.629452,42564.46098,44255,44447,42727.835366,44319,44543,,,,../result_ycsb/ycsb_workloadb_run_127.0.0.1_6380_20260130_101932.log
20260130_102119,ycsb,YCSB,ycsb_workloadc_load_127.0.0.1_6380_20260130_102119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103385,96.725831,,,,,,,41184.5062,44159,44287,../result_ycsb/ycsb_workloadc_load_127.0.0.1_6380_20260130_102119.log
20260130_102303,ycsb,YCSB,ycsb_workloadc_run_127.0.0.1_6380_20260130_102303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104967,95.268037,41839.9192,44223,44383,,,,,,,../result_ycsb/ycsb_workloadc_run_127.0.0.1_6380_20260130_102303.log
20260130_102448,ycsb,YCSB,ycsb_workloadd_load_127.0.0.1_6380_20260130_102448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106996,93.461438,,,,,,,42658.2605,44191,44287,../result_ycsb/ycsb_workloadd_load_127.0.0.1_6380_20260130_102448.log
20260130_102636,ycsb,YCSB,ycsb_workloadd_run_127.0.0.1_6380_20260130_102636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104290,95.88647,41526.890523,44223,44383,,,,41268.788382,44191,44351,../result_ycsb/ycsb_workloadd_run_127.0.0.1_6380_20260130_102636.log
20260130_102821,ycsb,YCSB,ycsb_workloade_load_127.0.0.1_6380_20260130_102821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106482,93.912586,,,,,,,42453.0112,44127,44223,../result_ycsb/ycsb_workloade_load_127.0.0.1_6380_20260130_102821.log
20260130_103008,ycsb,YCSB,ycsb_workloade_run_127.0.0.1_6380_20260130_103008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../result_ycsb/ycsb_workloade_run_127.0.0.1_6380_20260130_103008.log
20260130_103647,ycsb,YCSB,ycsb_workloada_load_127.0.0.1_6381_20260130_103647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5073,1971.220185,,,,,,,1937.1478,2871,3039,../result_ycsb/ycsb_workloada_load_127.0.0.1_6381_20260130_103647.log
20260130_103653,ycsb,YCSB,ycsb_workloada_run_127.0.0.1_6381_20260130_103653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,1851.851852,1796.407733,2349,2589,1932.56569,2391,2605,,,,../result_ycsb/ycsb_workloada_run_127.0.0.1_6381_20260130_103653.log
20260130_103659,ycsb,YCSB,ycsb_workloadb_load_127.0.0.1_6381_20260130_103659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4868,2054.231717,,,,,,,1830.1129,2457,3279,../result_ycsb/ycsb_workloadb_load_127.0.0.1_6381_20260130_103659.log
20260130_103705,ycsb,YCSB,ycsb_workloadb_run_127.0.0.1_6381_20260130_103705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4634,2157.962883,1812.640076,2005,2099,1712.672691,2008,2044,,,,../result_ycsb/ycsb_workloadb_run_127.0.0.1_6381_20260130_103705.log
20260130_103710,ycsb,YCSB,ycsb_workloadc_load_127.0.0.1_6381_20260130_103710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5195,1924.927815,,,,,,,1992.3787,2097,2189,../result_ycsb/ycsb_workloadc_load_127.0.0.1_6381_20260130_103710.log
20260130_103716,ycsb,YCSB,ycsb_workloadc_run_127.0.0.1_6381_20260130_103716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5160,1937.984496,2002.1604,2095,2137,,,,,,,../result_ycsb/ycsb_workloadc_run_127.0.0.1_6381_20260130_103716.log
20260130_103721,ycsb,YCSB,ycsb_workloadd_load_127.0.0.1_6381_20260130_103721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5314,1881.821603,,,,,,,1916.8994,2335,2517,../result_ycsb/ycsb_workloadd_load_127.0.0.1_6381_20260130_103721.log
20260130_103728,ycsb,YCSB,ycsb_workloadd_run_127.0.0.1_6381_20260130_103728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4768,2097.315436,1845.915192,2010,2103,,,,2317.840551,2032,2145,../result_ycsb/ycsb_workloadd_run_127.0.0.1_6381_20260130_103728.log
20260130_103733,ycsb,YCSB,ycsb_workloade_load_127.0.0.1_6381_20260130_103733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5281,1893.580761,,,,,,,2030.6296,2113,2185,../result_ycsb/ycsb_workloade_load_127.0.0.1_6381_20260130_103733.log
20260130_103739,ycsb,YCSB,ycsb_workloade_run_127.0.0.1_6381_20260130_103739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../result_ycsb/ycsb_workloade_run_127.0.0.1_6381_20260130_103739.log
